Obs,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,job_type,salary
1,0.38,0.53,2,157,3,0,1,0,sales,low
5,0.37,0.52,2,159,3,0,1,0,sales,low
6,0.41,0.5,2,153,3,0,1,0,sales,low
11,0.45,0.54,2,135,3,0,1,0,sales,low
12,0.11,0.81,6,305,4,0,1,0,sales,low
14,0.41,0.55,2,148,3,0,1,0,sales,low
16,0.38,0.54,2,143,3,0,1,0,sales,low
18,0.78,0.99,4,255,6,0,1,0,sales,low
19,0.45,0.51,2,160,3,1,1,1,sales,low
20,0.76,0.89,5,262,5,0,1,0,sales,low
21,0.11,0.83,6,282,4,0,1,0,sales,low
22,0.38,0.55,2,147,3,0,1,0,sales,low
24,0.46,0.57,2,139,3,0,1,0,sales,low
33,0.4,0.51,2,145,3,0,1,0,hr,low
34,0.45,0.55,2,140,3,0,1,0,hr,low
41,0.87,0.88,5,269,5,0,1,0,technica,low
44,0.1,0.8,7,281,4,0,1,0,technica,low
57,0.11,0.94,7,255,4,0,1,0,support,low
58,0.1,0.81,6,309,4,0,1,0,technica,low
59,0.38,0.54,2,128,3,0,1,0,technica,low
61,0.85,0.91,5,226,5,0,1,0,manageme,medium
63,0.1,0.95,6,244,5,0,1,0,IT,medium
74,0.09,0.87,7,295,4,0,1,0,product_,low
80,0.39,0.56,2,142,3,0,1,0,accounti,low
95,0.09,0.83,6,255,4,0,1,0,sales,low
96,0.37,0.51,2,155,3,0,1,0,sales,low
97,0.1,0.77,6,265,4,0,1,0,sales,low
98,0.1,0.84,6,279,4,0,1,0,sales,low
99,0.11,0.97,6,284,4,0,1,0,sales,low
100,0.9,1,5,221,6,0,1,0,sales,medium
102,0.36,0.52,2,147,3,0,1,0,sales,medium
108,0.44,0.5,2,148,3,0,1,0,accounti,medium
109,0.71,0.87,3,177,4,0,1,0,hr,medium
114,0.9,0.96,4,258,5,0,1,0,technica,medium
115,0.84,1,5,234,5,0,1,0,technica,medium
